whrswk,hhi,whi,hhi2,education,race,hispanic,experience,kidslt6,kids618,husby,region,wght,experience_whrswk,whrswk_husby,adjusted_experience,education_level,experience_education,family_responsibility_index,hours_per_dependent,hours_per_child_lt6,experience_squared,hours_worked_bracket,career_stage
50,no,yes,no,12years,white,no,19.0,0,2,0.0,northcentral,137472,950.0,0.0,19.0,3,57.0,2,16.666666666666668,50.0,361.0,fulltime,Late
0,no,no,no,12years,white,no,5.0,3,0,9.0,northcentral,143987,0.0,0.0,1.25,3,15.0,3,0.0,0.0,25.0,,Early
60,no,yes,yes,16years,white,no,6.0,1,0,32.0,northcentral,132259,360.0,1920.0,3.0,5,30.0,1,30.0,30.0,36.0,fulltime,Mid
0,no,yes,no,12years,white,no,16.0,1,1,38.5,northcentral,83882,0.0,0.0,8.0,3,48.0,2,0.0,0.0,256.0,,Late
40,no,yes,yes,16years,white,no,13.0,2,0,28.0,northcentral,138354,520.0,1120.0,4.333333333333333,5,65.0,2,13.333333333333334,13.333333333333334,169.0,fulltime,Mid
50,no,yes,no,12years,white,no,29.0,0,1,15.875,northcentral,133953,1450.0,793.75,29.0,3,87.0,1,25.0,50.0,841.0,fulltime,Late
42,yes,no,yes,12years,white,no,7.0,1,0,17.5,northcentral,143873,294.0,735.0,3.5,3,21.0,1,21.0,21.0,49.0,fulltime,Mid
10,yes,no,yes,13-15years,white,no,24.0,0,3,47.0,northcentral,135222,240.0,470.0,24.0,4,96.0,3,2.5,10.0,576.0,parttime,Late
40,yes,yes,yes,12years,white,no,11.0,1,0,30.0,northcentral,136106,440.0,1200.0,5.5,3,33.0,1,20.0,20.0,121.0,fulltime,Mid
40,yes,yes,yes,12years,white,no,23.0,0,2,26.0,northcentral,135222,920.0,1040.0,23.0,3,69.0,2,13.333333333333334,40.0,529.0,fulltime,Late
0,no,no,no,13-15years,white,no,14.0,2,1,0.0,northcentral,138354,0.0,0.0,4.666666666666667,4,56.0,3,0.0,0.0,196.0,,Mid
40,no,yes,no,13-15years,white,no,10.0,0,5,3.44,northcentral,29144,400.0,137.6,10.0,4,40.0,5,6.666666666666667,40.0,100.0,fulltime,Mid
40,no,yes,yes,12years,white,no,23.0,0,2,27.0,northcentral,135329,920.0,1080.0,23.0,3,69.0,2,13.333333333333334,40.0,529.0,fulltime,Late
0,no,no,no,12years,white,no,24.0,0,0,0.0,northcentral,112047,0.0,0.0,24.0,3,72.0,0,0.0,0.0,576.0,,Late
60,yes,no,yes,16years,white,no,31.0,0,0,35.007,northcentral,106484,1860.0,2100.42,31.0,5,155.0,0,60.0,60.0,961.0,fulltime,Very Late
50,no,no,no,16years,white,no,19.0,0,2,20.0,northcentral,112094,950.0,1000.0,19.0,5,95.0,2,16.666666666666668,50.0,361.0,fulltime,Late
32,no,no,no,12years,white,no,29.0,0,1,21.616,northcentral,111042,928.0,691.712,29.0,3,87.0,1,16.0,32.0,841.0,fulltime,Late
25,no,no,no,12years,white,no,23.0,0,2,0.0,northcentral,112047,575.0,0.0,23.0,3,69.0,2,8.333333333333334,25.0,529.0,parttime,Late
0,no,no,no,12years,white,no,46.0,0,0,0.0,northcentral,114022,0.0,0.0,46.0,3,138.0,0,0.0,0.0,2116.0,,Very Late
40,no,no,no,>16years,white,no,17.0,0,2,0.0,northcentral,112047,680.0,0.0,17.0,6,102.0,2,13.333333333333334,40.0,289.0,fulltime,Late
40,yes,no,yes,12years,white,no,9.0,0,1,30.0,northcentral,114583,360.0,1200.0,9.0,3,27.0,1,20.0,40.0,81.0,fulltime,Mid
40,yes,no,yes,12years,white,no,16.0,0,2,16.5,northcentral,116303,640.0,660.0,16.0,3,48.0,2,13.333333333333334,40.0,256.0,fulltime,Late
0,no,no,no,12years,white,no,6.0,3,0,9.36,northcentral,120942,0.0,0.0,1.5,3,18.0,3,0.0,0.0,36.0,,Mid
22,yes,no,yes,13-15years,white,no,15.0,2,0,56.0,northcentral,256216,330.0,1232.0,5.0,4,60.0,2,7.333333333333333,7.333333333333333,225.0,parttime,Mid
40,yes,no,yes,16years,white,no,28.0,0,1,75.0,northcentral,255363,1120.0,3000.0,28.0,5,140.0,1,20.0,40.0,784.0,fulltime,Late
30,yes,no,yes,13-15years,white,no,21.0,0,1,38.0,northcentral,250416,630.0,1140.0,21.0,4,84.0,1,15.0,30.0,441.0,parttime,Late
0,yes,no,yes,12years,white,no,31.0,0,0,45.0,northcentral,201024,0.0,0.0,31.0,3,93.0,0,0.0,0.0,961.0,,Very Late
45,no,yes,no,16years,white,no,18.0,0,2,38.0,northcentral,206304,810.0,1710.0,18.0,5,90.0,2,15.0,45.0,324.0,fulltime,Late
30,no,yes,yes,16years,white,no,39.0,0,0,40.0,northcentral,215758,1170.0,1200.0,39.0,5,195.0,0,30.0,30.0,1521.0,parttime,Very Late
45,no,yes,no,16years,white,no,19.0,0,0,28.0,northcentral,202928,855.0,1260.0,19.0,5,95.0,0,45.0,45.0,361.0,fulltime,Late
0,yes,no,yes,13-15years,white,no,20.0,0,4,52.0,northcentral,206304,0.0,0.0,20.0,4,80.0,4,0.0,0.0,400.0,,Late
40,yes,no,yes,16years,white,no,20.0,0,2,51.0,northcentral,202928,800.0,2040.0,20.0,5,100.0,2,13.333333333333334,40.0,400.0,fulltime,Late
40,yes,no,yes,>16years,white,no,17.0,0,2,25.0,northcentral,214490,680.0,1000.0,17.0,6,102.0,2,13.333333333333334,40.0,289.0,fulltime,Late
40,no,no,no,12years,white,no,22.0,0,4,6.0,northcentral,204310,880.0,240.0,22.0,3,66.0,4,8.0,40.0,484.0,fulltime,Late
0,no,no,no,12years,white,no,38.0,0,0,0.0,northcentral,206155,0.0,0.0,38.0,3,114.0,0,0.0,0.0,1444.0,,Very Late
35,yes,no,yes,12years,white,no,12.0,0,0,35.0,northcentral,204919,420.0,1225.0,12.0,3,36.0,0,35.0,35.0,144.0,fulltime,Mid
40,yes,yes,yes,13-15years,white,no,16.0,0,3,32.0,northcentral,212996,640.0,1280.0,16.0,4,64.0,3,10.0,40.0,256.0,fulltime,Late
0,no,no,no,13-15years,white,no,24.0,0,3,10.582,northcentral,209510,0.0,0.0,24.0,4,96.0,3,0.0,0.0,576.0,,Late
0,no,no,no,13-15years,white,no,35.0,0,0,0.0,northcentral,199024,0.0,0.0,35.0,4,140.0,0,0.0,0.0,1225.0,,Very Late
0,no,no,no,12years,white,no,45.0,0,0,0.0,northcentral,73038,0.0,0.0,45.0,3,135.0,0,0.0,0.0,2025.0,,Very Late
40,no,yes,no,16years,white,no,5.0,0,0,0.0,northcentral,70249,200.0,0.0,5.0,5,25.0,0,40.0,40.0,25.0,fulltime,Early
0,no,no,no,13-15years,white,no,10.0,1,0,30.0,northcentral,69205,0.0,0.0,5.0,4,40.0,1,0.0,0.0,100.0,,Mid
37,yes,no,yes,13-15years,white,no,21.0,0,1,19.5,northcentral,70755,777.0,721.5,21.0,4,84.0,1,18.5,37.0,441.0,fulltime,Late
15,yes,no,yes,12years,white,no,26.0,0,0,16.0,northcentral,68694,390.0,240.0,26.0,3,78.0,0,15.0,15.0,676.0,parttime,Late
32,yes,no,yes,12years,white,no,42.0,0,0,15.8,northcentral,69622,1344.0,505.6,42.0,3,126.0,0,32.0,32.0,1764.0,fulltime,Very Late
40,yes,no,yes,12years,white,no,25.0,1,1,24.0,northcentral,70755,1000.0,960.0,12.5,3,75.0,2,13.333333333333334,20.0,625.0,fulltime,Late
0,yes,no,yes,13-15years,white,no,17.0,2,1,47.0,northcentral,71933,0.0,0.0,5.666666666666667,4,68.0,3,0.0,0.0,289.0,,Late
40,no,yes,no,12years,white,no,28.0,0,0,2.5,northcentral,68050,1120.0,100.0,28.0,3,84.0,0,40.0,40.0,784.0,fulltime,Late
24,yes,no,yes,16years,white,no,28.0,0,1,40.0,northcentral,68050,672.0,960.0,28.0,5,140.0,1,12.0,24.0,784.0,parttime,Late
0,yes,no,yes,13-15years,white,no,41.0,0,0,58.0,northcentral,75229,0.0,0.0,41.0,4,164.0,0,0.0,0.0,1681.0,,Very Late
0,no,no,no,12years,white,no,36.0,0,0,0.0,northcentral,25059,0.0,0.0,36.0,3,108.0,0,0.0,0.0,1296.0,,Very Late
34,no,no,no,9-11years,white,no,26.5,0,0,21.8,northcentral,26379,901.0,741.2,26.5,2,53.0,0,34.0,34.0,702.25,fulltime,Late
36,no,yes,yes,12years,white,no,40.0,0,0,10.78,northcentral,26240,1440.0,388.08,40.0,3,120.0,0,36.0,36.0,1600.0,fulltime,Very Late
0,no,no,no,13-15years,white,no,42.0,0,0,2.0,northcentral,28047,0.0,0.0,42.0,4,168.0,0,0.0,0.0,1764.0,,Very Late
16,no,no,no,13-15years,white,no,18.0,1,3,0.0,northcentral,26818,288.0,0.0,9.0,4,72.0,4,3.2,8.0,324.0,parttime,Late
24,yes,no,yes,16years,white,no,20.0,0,7,5.0,northcentral,26379,480.0,120.0,20.0,5,100.0,7,3.0,24.0,400.0,parttime,Late
0,no,no,no,12years,white,no,42.0,0,0,0.0,northcentral,25957,0.0,0.0,42.0,3,126.0,0,0.0,0.0,1764.0,,Very Late
0,no,no,no,13-15years,white,no,42.0,0,0,0.0,northcentral,28047,0.0,0.0,42.0,4,168.0,0,0.0,0.0,1764.0,,Very Late
20,no,no,no,12years,white,no,26.0,0,1,5.0,northcentral,26379,520.0,100.0,26.0,3,78.0,1,10.0,20.0,676.0,parttime,Late
0,no,no,no,13-15years,white,no,19.0,0,2,0.0,northcentral,30293,0.0,0.0,19.0,4,76.0,2,0.0,0.0,361.0,,Late
26,yes,no,yes,12years,white,no,32.0,0,0,40.0,northcentral,29518,832.0,1040.0,32.0,3,96.0,0,26.0,26.0,1024.0,parttime,Very Late
24,yes,no,yes,12years,white,no,47.0,0,0,11.0,northcentral,31010,1128.0,264.0,47.0,3,141.0,0,24.0,24.0,2209.0,parttime,Very Late
0,yes,no,yes,12years,white,no,41.0,0,0,7.483,northcentral,29984,0.0,0.0,41.0,3,123.0,0,0.0,0.0,1681.0,,Very Late
40,yes,no,yes,12years,white,no,11.0,1,2,33.648,northcentral,229631,440.0,1345.92,5.5,3,33.0,3,10.0,20.0,121.0,fulltime,Mid
40,yes,no,yes,12years,white,no,27.0,0,0,58.0,northcentral,236861,1080.0,2320.0,27.0,3,81.0,0,40.0,40.0,729.0,fulltime,Late
40,no,no,no,12years,white,no,13.0,0,2,10.172,northcentral,242347,520.0,406.88,13.0,3,39.0,2,13.333333333333334,40.0,169.0,fulltime,Mid
0,yes,no,yes,12years,white,no,46.0,0,0,0.0,northcentral,238914,0.0,0.0,46.0,3,138.0,0,0.0,0.0,2116.0,,Very Late
0,no,yes,no,12years,white,no,46.0,0,0,0.0,northcentral,238914,0.0,0.0,46.0,3,138.0,0,0.0,0.0,2116.0,,Very Late
40,no,yes,no,9-11years,white,no,47.5,0,0,0.0,northcentral,238914,1900.0,0.0,47.5,2,95.0,0,40.0,40.0,2256.25,fulltime,Very Late
0,no,no,no,12years,white,no,17.0,3,0,0.0,northcentral,240214,0.0,0.0,4.25,3,51.0,3,0.0,0.0,289.0,,Late
0,yes,no,yes,12years,white,no,28.0,0,0,37.0,northcentral,232573,0.0,0.0,28.0,3,84.0,0,0.0,0.0,784.0,,Late
0,no,no,no,12years,white,no,12.0,2,1,0.0,northcentral,229631,0.0,0.0,4.0,3,36.0,3,0.0,0.0,144.0,,Mid
45,yes,no,yes,12years,white,no,28.0,0,2,40.0,other,203983,1260.0,1800.0,28.0,3,84.0,2,15.0,45.0,784.0,fulltime,Late
10,yes,no,yes,12years,white,no,17.0,0,3,40.808,other,210684,170.0,408.08,17.0,3,51.0,3,2.5,10.0,289.0,parttime,Late
20,yes,no,yes,12years,white,no,8.0,2,1,25.0,other,210575,160.0,500.0,2.6666666666666665,3,24.0,3,5.0,6.666666666666667,64.0,parttime,Mid
0,no,yes,yes,12years,white,no,42.0,0,0,0.0,other,202617,0.0,0.0,42.0,3,126.0,0,0.0,0.0,1764.0,,Very Late
15,yes,no,yes,12years,white,no,39.0,0,0,30.0,other,202617,585.0,450.0,39.0,3,117.0,0,15.0,15.0,1521.0,parttime,Very Late
32,no,yes,yes,13-15years,white,no,34.0,0,0,40.0,other,173240,1088.0,1280.0,34.0,4,136.0,0,32.0,32.0,1156.0,fulltime,Very Late
18,yes,no,yes,>16years,white,yes,13.0,1,1,60.0,other,100757,234.0,1080.0,6.5,6,78.0,2,6.0,9.0,169.0,parttime,Mid
50,yes,no,yes,16years,white,no,23.0,0,2,53.0,other,178188,1150.0,2650.0,23.0,5,115.0,2,16.666666666666668,50.0,529.0,fulltime,Late
40,yes,yes,yes,12years,white,no,20.0,0,1,22.0,other,181152,800.0,880.0,20.0,3,60.0,1,20.0,40.0,400.0,fulltime,Late
40,yes,yes,yes,13-15years,white,no,22.0,0,2,31.0,other,178188,880.0,1240.0,22.0,4,88.0,2,13.333333333333334,40.0,484.0,fulltime,Late
0,yes,no,yes,12years,white,no,29.0,0,1,37.0,other,176516,0.0,0.0,29.0,3,87.0,1,0.0,0.0,841.0,,Late
30,yes,no,yes,12years,white,no,19.0,0,3,50.0,other,183695,570.0,1500.0,19.0,3,57.0,3,7.5,30.0,361.0,parttime,Late
40,no,yes,yes,16years,white,no,31.0,0,0,47.0,other,171646,1240.0,1880.0,31.0,5,155.0,0,40.0,40.0,961.0,fulltime,Very Late
17,yes,no,yes,12years,white,no,15.0,1,1,30.4,other,182315,255.0,516.8,7.5,3,45.0,2,5.666666666666667,8.5,225.0,parttime,Mid
40,no,yes,no,>16years,white,no,8.0,0,0,18.0,other,182315,320.0,720.0,8.0,6,48.0,0,40.0,40.0,64.0,fulltime,Mid
36,no,yes,yes,13-15years,white,no,19.0,0,3,22.0,other,181152,684.0,792.0,19.0,4,76.0,3,9.0,36.0,361.0,fulltime,Late
35,no,yes,no,13-15years,white,no,35.0,0,1,2.6,other,169269,1225.0,91.0,35.0,4,140.0,1,17.5,35.0,1225.0,fulltime,Very Late
20,no,no,no,12years,white,no,26.0,0,2,0.0,other,178188,520.0,0.0,26.0,3,78.0,2,6.666666666666667,20.0,676.0,parttime,Late
38,yes,yes,yes,16years,white,no,21.0,0,0,54.0,other,178188,798.0,2052.0,21.0,5,105.0,0,38.0,38.0,441.0,fulltime,Late
30,yes,no,yes,9-11years,white,no,44.5,0,0,22.0,other,189454,1335.0,660.0,44.5,2,89.0,0,30.0,30.0,1980.25,parttime,Very Late
40,yes,no,yes,13-15years,white,no,28.0,0,1,44.44,other,176516,1120.0,1777.6,28.0,4,112.0,1,20.0,40.0,784.0,fulltime,Late
50,no,yes,no,12years,white,no,44.0,0,0,0.0,other,189454,2200.0,0.0,44.0,3,132.0,0,50.0,50.0,1936.0,fulltime,Very Late
37,yes,no,yes,12years,white,no,26.0,0,3,23.12,other,178188,962.0,855.44,26.0,3,78.0,3,9.25,37.0,676.0,fulltime,Late
30,no,yes,no,>16years,white,no,34.0,0,1,0.0,other,177795,1020.0,0.0,34.0,6,204.0,1,15.0,30.0,1156.0,parttime,Very Late
37,yes,yes,yes,>16years,white,no,10.0,1,0,28.0,other,184874,370.0,1036.0,5.0,6,60.0,1,18.5,18.5,100.0,fulltime,Mid
35,no,yes,no,16years,white,no,30.0,0,0,67.0,other,171646,1050.0,2345.0,30.0,5,150.0,0,35.0,35.0,900.0,fulltime,Late
40,no,no,no,9-11years,white,no,10.5,0,0,10.0,other,312467,420.0,400.0,10.5,2,21.0,0,40.0,40.0,110.25,fulltime,Mid
0,yes,no,yes,12years,white,no,12.0,3,1,2.7,other,298857,0.0,0.0,3.0,3,36.0,4,0.0,0.0,144.0,,Mid
0,no,no,no,9-11years,white,no,19.5,0,0,0.0,other,310168,0.0,0.0,19.5,2,39.0,0,0.0,0.0,380.25,,Late
16,yes,no,yes,12years,white,no,44.0,0,0,34.875,other,324383,704.0,558.0,44.0,3,132.0,0,16.0,16.0,1936.0,parttime,Very Late
20,yes,no,yes,12years,white,no,15.0,0,2,28.2,other,113484,300.0,564.0,15.0,3,45.0,2,6.666666666666667,20.0,225.0,parttime,Mid
40,yes,no,yes,16years,white,no,3.0,1,0,38.715,other,85249,120.0,1548.6000000000001,1.5,5,15.0,1,20.0,20.0,9.0,fulltime,Early
10,yes,no,yes,16years,white,no,12.0,2,1,48.0,other,108122,120.0,480.0,4.0,5,60.0,3,2.5,3.3333333333333335,144.0,parttime,Mid
45,yes,no,yes,16years,white,no,21.0,0,2,34.8,other,105675,945.0,1565.9999999999998,21.0,5,105.0,2,15.0,45.0,441.0,fulltime,Late
22,yes,no,yes,13-15years,white,no,30.0,0,0,59.0,other,104683,660.0,1298.0,30.0,4,120.0,0,22.0,22.0,900.0,parttime,Late
20,yes,no,yes,16years,white,no,21.0,1,1,0.0,other,110915,420.0,0.0,10.5,5,105.0,2,6.666666666666667,10.0,441.0,parttime,Late
32,yes,no,yes,16years,white,no,9.0,2,0,55.5,other,113484,288.0,1776.0,3.0,5,45.0,2,10.666666666666666,10.666666666666666,81.0,fulltime,Mid
40,no,yes,no,13-15years,white,yes,10.0,0,2,33.0,other,46036,400.0,1320.0,10.0,4,40.0,2,13.333333333333334,40.0,100.0,fulltime,Mid
40,yes,no,yes,13-15years,white,yes,10.0,2,0,26.0,other,46036,400.0,1040.0,3.3333333333333335,4,40.0,2,13.333333333333334,13.333333333333334,100.0,fulltime,Mid
40,yes,no,yes,12years,white,no,16.0,0,1,24.241,other,111023,640.0,969.64,16.0,3,48.0,1,20.0,40.0,256.0,fulltime,Late
36,no,yes,no,13-15years,white,no,10.0,0,0,30.0,other,106132,360.0,1080.0,10.0,4,40.0,0,36.0,36.0,100.0,fulltime,Mid
18,yes,no,yes,13-15years,white,no,18.0,0,3,60.0,other,110315,324.0,1080.0,18.0,4,72.0,3,4.5,18.0,324.0,parttime,Late
40,no,yes,no,>16years,black,no,19.0,0,1,26.0,other,98010,760.0,1040.0,19.0,6,114.0,1,20.0,40.0,361.0,fulltime,Late
0,yes,no,yes,12years,white,no,9.0,2,0,29.0,other,110966,0.0,0.0,3.0,3,27.0,2,0.0,0.0,81.0,,Mid
40,no,yes,yes,12years,white,no,36.0,0,0,35.0,other,103079,1440.0,1400.0,36.0,3,108.0,0,40.0,40.0,1296.0,fulltime,Very Late
40,yes,no,yes,>16years,white,no,33.0,0,0,55.0,other,106772,1320.0,2200.0,33.0,6,198.0,0,40.0,40.0,1089.0,fulltime,Very Late
48,no,yes,no,13-15years,white,no,19.0,0,2,3.0,other,110315,912.0,144.0,19.0,4,76.0,2,16.0,48.0,361.0,fulltime,Late
40,yes,yes,yes,12years,white,no,32.0,0,0,50.0,other,107492,1280.0,2000.0,32.0,3,96.0,0,40.0,40.0,1024.0,fulltime,Very Late
0,yes,no,yes,12years,white,no,46.0,0,0,0.0,other,110423,0.0,0.0,46.0,3,138.0,0,0.0,0.0,2116.0,,Very Late
40,no,yes,no,13-15years,black,no,32.0,0,0,0.0,other,115351,1280.0,0.0,32.0,4,128.0,0,40.0,40.0,1024.0,fulltime,Very Late
25,yes,yes,yes,12years,white,no,21.0,1,1,45.0,other,113532,525.0,1125.0,10.5,3,63.0,2,8.333333333333334,12.5,441.0,parttime,Late
40,yes,yes,yes,16years,white,no,13.0,0,0,36.7,other,114260,520.0,1468.0,13.0,5,65.0,0,40.0,40.0,169.0,fulltime,Mid
0,yes,no,yes,16years,white,no,22.0,1,1,85.0,other,111674,0.0,0.0,11.0,5,110.0,2,0.0,0.0,484.0,,Late
40,no,yes,no,12years,white,no,34.0,0,0,30.0,other,106085,1360.0,1200.0,34.0,3,102.0,0,40.0,40.0,1156.0,fulltime,Very Late
28,yes,no,yes,12years,white,no,13.0,2,0,14.0,other,111547,364.0,392.0,4.333333333333333,3,39.0,2,9.333333333333334,9.333333333333334,169.0,parttime,Mid
40,yes,no,yes,12years,white,no,36.0,0,1,28.0,other,103565,1440.0,1120.0,36.0,3,108.0,1,20.0,40.0,1296.0,fulltime,Very Late
20,yes,no,yes,9-11years,white,no,16.5,0,0,43.0,other,111547,330.0,860.0,16.5,2,33.0,0,20.0,20.0,272.25,parttime,Late
45,yes,no,yes,12years,white,no,23.0,0,2,25.0,other,109022,1035.0,1125.0,23.0,3,69.0,2,15.0,45.0,529.0,fulltime,Late
0,yes,no,yes,16years,white,no,23.0,1,1,44.0,other,109022,0.0,0.0,11.5,5,115.0,2,0.0,0.0,529.0,,Late
0,yes,no,yes,13-15years,white,no,21.0,0,0,58.0,other,147488,0.0,0.0,21.0,4,84.0,0,0.0,0.0,441.0,,Late
0,yes,no,yes,12years,white,no,21.0,0,2,37.0,other,185401,0.0,0.0,21.0,3,63.0,2,0.0,0.0,441.0,,Late
40,no,no,no,16years,black,no,20.0,0,2,52.0,other,160201,800.0,2080.0,20.0,5,100.0,2,13.333333333333334,40.0,400.0,fulltime,Late
0,yes,no,yes,12years,white,no,18.0,1,0,35.0,other,180315,0.0,0.0,9.0,3,54.0,1,0.0,0.0,324.0,,Late
0,no,no,no,13-15years,white,no,22.0,0,1,40.0,other,136320,0.0,0.0,22.0,4,88.0,1,0.0,0.0,484.0,,Late
20,no,yes,no,>16years,white,no,-1.0,0,0,0.0,other,188710,-20.0,0.0,-1.0,6,-6.0,0,20.0,20.0,1.0,parttime,
35,no,yes,no,12years,white,yes,8.0,1,0,0.0,other,76968,280.0,0.0,4.0,3,24.0,1,17.5,17.5,64.0,fulltime,Mid
35,yes,yes,yes,12years,white,yes,44.0,0,0,0.0,other,97146,1540.0,0.0,44.0,3,132.0,0,35.0,35.0,1936.0,fulltime,Very Late
8,no,no,no,>16years,white,yes,33.0,0,0,99.999,other,94059,264.0,799.992,33.0,6,198.0,0,8.0,8.0,1089.0,parttime,Very Late
0,yes,no,yes,16years,white,no,40.0,0,0,0.75,other,197290,0.0,0.0,40.0,5,200.0,0,0.0,0.0,1600.0,,Very Late
0,no,no,no,9-11years,white,no,28.5,0,0,45.0,other,188837,0.0,0.0,28.5,2,57.0,0,0.0,0.0,812.25,,Late
40,no,yes,no,13-15years,white,no,25.0,0,2,0.8,other,188837,1000.0,32.0,25.0,4,100.0,2,13.333333333333334,40.0,625.0,fulltime,Late
40,yes,no,yes,9-11years,white,no,42.5,0,0,23.0,other,185813,1700.0,920.0,42.5,2,85.0,0,40.0,40.0,1806.25,fulltime,Very Late
0,yes,no,yes,12years,white,no,19.0,0,0,38.0,other,191979,0.0,0.0,19.0,3,57.0,0,0.0,0.0,361.0,,Late
30,no,yes,yes,12years,white,no,30.0,0,0,35.0,other,187065,900.0,1050.0,30.0,3,90.0,0,30.0,30.0,900.0,parttime,Late
35,yes,yes,yes,12years,white,no,20.0,1,0,44.0,other,191979,700.0,1540.0,10.0,3,60.0,1,17.5,17.5,400.0,fulltime,Late
40,no,yes,no,12years,white,no,47.0,0,0,0.0,other,192166,1880.0,0.0,47.0,3,141.0,0,40.0,40.0,2209.0,fulltime,Very Late
